"";"identificationEtDescription:periodesDeCreationExecution";"identificationEtDescription:auteursExecutantsCollecteurs";"identificationEtDescription:titres";"identificationEtDescription:domaines";"identificationEtDescription:etatActuelDuBien";"identificationEtDescription:materiauxEtTechniques";"identificationEtDescription:mesures";"identificationEtDescription:inscriptions";"identificationEtDescription:millesimesDeCreationExecution";"identificationEtDescription:appellationsVernaculaires";"identificationEtDescription:nbreObjets";"identificationEtDescription:representations";"identificationEtDescription:denominations";"identificationEtDescription:nbreElements";"identificationEtDescription:numeroDInventaire";"identificationEtDescription:mouvement";"identificationEtDescription:techniques";"identificationEtDescription:ecoles";"identificationEtDescription:description";"identificationEtDescription:modesFonctionnement";"identificationEtDescription:autresNumeros";"identificationEtDescription:interetObjet";"identificationEtDescription:numeroDeDepot";"identificationEtDescription:anciensNumeros";"identificationEtDescription:particularites";"identificationEtDescription:etatDuBienHistory";"identificationEtDescription:onomastique";"identificationEtDescription:epoque";"identificationEtDescription:anciennesAttributions";"identificationEtDescription:appellation";"identificationEtDescription:descriptionsAnalytiques";"identificationEtDescription:autresDesignations";"identificationEtDescription:style";"identificationEtDescription:qualiteRealisation";"identificationEtDescription:precisionNumeroDInventaire";"identificationEtDescription:materiaux";"identificationEtDescription:rareteEnCollection";"identificationEtDescription:etatGeneral";"identificationEtDescription:appellations";"identificationEtDescription:etatActuelDuBien ### etat";"identificationEtDescription:etatActuelDuBien ### date";"item ### #text";"item ### precisions";"item ### mesuresSet";"item ### notes";"item ### precision";"item ### periode";"item ### affixe";"item ### traduction";"item ### transliteration";"item ### techniques";"item ### alphabet";"item ### inscription";"item ### type";"item ### justification";"item ### langue";"item ### emplacement";"item ### auteur";"identificationEtDescription:millesimeDeLOriginalCopie ### millesime";"identificationEtDescription:millesimeDeLOriginalCopie ### precision";"identificationEtDescription:millesimeDeLOriginalCopie ### affixe";"identificationEtDescription:millesimeDeLOriginalCopie ### notes";"identificationEtDescription:etatDuBienAcquisisionDepot ### dateConstat";"identificationEtDescription:etatDuBienAcquisisionDepot ### details";"identificationEtDescription:etatDuBienAcquisisionDepot ### etatInitialDuBien";"identificationEtDescription:etatDuBienAcquisisionDepot ### notes";"item ### complement";"item ### periodes";"item ### attribuePar";"item ### lieux";"item ### roles";"item ### millesimes";"item ### lesTechniques";"item ### lesMateriaux";"identificationEtDescription:periodeDeLOriginalCopie ### precision";"identificationEtDescription:periodeDeLOriginalCopie ### periode";"identificationEtDescription:periodeDeLOriginalCopie ### affixe";"identificationEtDescription:periodeDeLOriginalCopie ### notes";"item ### titre";"item ### millesime";"item ### affixes";"item ### denomination";"item ### numero";"item ### description";"item ### ecole";
"00960353-3b05-448a-b222-716f02e29050";;;;;;;;"";;"";"1";"";"";"";"2013.1.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";"";"92c501fe68-68ab-4ddf-a9e1-6708febf4ff8 ### ";"";" ### huile sur toile ### ";"1er quart 20e siècle ### ";" ### entre ###  ### et ### ";;;;;;;;"";;"DUFYRaoul ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";"peinture à l'huile ### ";"toile ### ";"";"";"";"";"Étude pour « Fin de journée au Havre » ### ";"1900 ###  ### 1901 ### ";;;;;;"
"
"00c39e1e-8c25-4def-8b0c-c1b9a6c99e04";;;;;;;;"";;"";"";"";;"";"BD 69";"a9e70fa2-ccad-4f4b-ac66-dd8f5e7a0ca3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";"";"538acd45ee-fdfb-4e0a-b4da-b6ba50a4a3d1 ### ";" ### Datation proposée par Laurent Manœuvre à l’occasion de la préparation de l’exposition Eugène Boudin. L’atelier de la lumière, 16 avril 2016 – 26 septembre 2016 ### ";" ### Création ###  ### graphite sur papier vélin ### ";"3e quart 19e siècle ### ";" ### entre ###  ### et ### ";;;;;;;;"";;"BOUDINEugène ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Dessinateur ### ";"";"graphite ### ";"papier vélin ### ";"";"";"";"";"Barques et pêcheurs ### ";"1851 ###  ### 1859 ### ";"";"";;;;"
"
"00ccf54e-b5d8-4145-adf3-5898a7a4ad1b";;;;;;;;;;"";"1";"";;"";"71.191";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";"";"1.88743375f-91a7-466e-8631-d2b3c302c0ae ### ";"";" ### 1971.191 ###  ### Création ###  ### huile sur toile ###  ### date de signature ### ";"3e quart 20e siècle ### ";"";"";"";"";"";"GRENIER 71 ###  ### L.H. 10 - Format 10M ### ";"Signé et daté ###  ### Inscription ### ";"";"";"En bas à droite ###  ### Au dos ### ";" ### GRENIERMadeleine ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";"peinture à l'huile ### ";"toile ### ";"";"";"";"";"Marine ### ";"1971 ### ";"";"";"Ancien numéro ### ";;;"
"
"00db6aca-44c0-4b1e-8b2d-8cf0d8b3d83e";;;;;;;;;;"";"1";"";;"";"74.22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";"";"7862edb277-39c3-45b9-a4ee-b7725513f35c ### ";" ### juillet ### ";" ### Création ###  ### Aquarelle sur papier ###  ### date de signature ### ";"1er quart 20e siècle ### ";"";"";"";"";"";"juillet 1917 ###  ### Mont Athos - monastère d'Iviron juillet 1917 JOUVE; ### ";"Signé, daté, localisé ###  ### Inscription ### ";"";"";"En bas à gauche ###  ### En bas à gauche ### ";" ### JOUVEPaul ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";"aquarelle gouachée ### ";"papier ### ";"";"";"";"";"Mont Athos, monastère d'Iviron ### ";"1917 ### ";"";"";;;;"
"
"0102d534-01e0-48e5-bf94-3affd4745a7a";;;;;;;;;"";"";"1";"";;"";"E 51 ter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"ea9d6e43-c50f-4adb-8f60-5bfddc4ef784";"";"31,9ed481cfb-c2c3-4745-823b-e97e0e404df5 ### ";"";" ### Création ### ";"1ère moitié 19e siècle ### ";"";"";"";"";"";"Lith. Becquet frères à Far ###  ### l'Ecole de Dessin (5e année)(55e. Liv.on) Pl. 32 ###  ### Charlet ### ";"Inscription ###  ### Inscription ###  ### Signature ### ";"";"";"En bas à droite ###  ### En haut ###  ### En bas ### ";" ### CHARLETNicolas-Toussaint ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Graveur ### ";"";"gravure ### ";"papier ### ";"";"";"";"";"Composition : croquis, personnages et animaux ### ";;"";"";;"oeuvre montée avec le E 51 bis ### ";;"
"
"0104e66f-51a0-438d-8bf3-e015e0c47f19";;;;;;;;;"";"";"1";"";;"";"52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";"";"37ed481cfb-c2c3-4745-823b-e97e0e404df5 ### ";"";" ### Création ###  ### Dessin sur papier ### ";"2e moitié 18e siècle ### ";"";"";"";"";"";"";"Signature ### ";"";"";"En bas à droite ### ";" ### LEPICIENicolas-Bernard ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Dessinateur ### ";"";"sanguine ### ";"papier ### ";"";"";"";"";"Trois Têtes ### ";;"";"";;;;"
"
"01255444-e0eb-4fff-b4f0-883f299a8eb9";;;;;;;;;"";"";"1";"";;"";"83.112";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";"";"1,4fc342777-6134-4a98-a407-08f206835f4b ### ";"";" ### Gervais ###  ### 1983.112 ###  ### Création ###  ### gouache sur papier ### ";"20e siècle ### ";"";"";"";"";"";"";"Signature ### ";"";"";"En bas à gauche ### ";" ### GERVAIS ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";"gouache (peinture) ### ";"papier ### ";"";"";"";"";"Passage Dieppedalle ### ";;"";"";"Ancien numéro ### ";;;"
"
"01353536-c192-4119-98ad-5d09e0277ff9";;;;;;;;"";;"";"";"";"";"";"2019.6.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";"";"6562edb277-39c3-45b9-a4ee-b7725513f35c ### ";"";" ### encre, crayon et aquarelle sur papier ### ";"4e quart 19e siècle ### ";" ### vers ### ";;;;;;;;"";;"PRUNIER				Gaston ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"aquarelle (dessin) ### ";"papier ### ";"";"";"";"";"Le Paquebot La Champagne en cale de radoub ### ";"1899 ### ";;;;;;"
"
"0137852d-a195-4e04-97a3-6dd76d971a54";;;;;;;;"";;"";"1";"";;"";"2004.3.203.4";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";"";"8.762edb277-39c3-45b9-a4ee-b7725513f35c ### ";"";" ### 50 ###  ### Neuf dessins scène de rue ###  ### Création ###  ### Encre noire et pierre noire sur papier ### ";"1er quart 20e siècle ### ";" ### entre ###  ### et ### ";;;;;;;;"";;"MARQUETAlbert ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Dessinateur ### ";"";"encre de Chine ### ";"";"";"";"";"";"Femme aux bottines de profil ### ";"1900 ###  ### 1904 ### ";"";"";"Senn ###  ### D 80 ### ";;;"
"
"013d358d-6144-46f9-8ca3-ce7580e3051a";;;;;;;;;;"";"";"";;"";"";"";"";"";"";"";;"";"D 60.64";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ea9d6e43-c50f-4adb-8f60-5bfddc4ef784";"";"105.162edb277-39c3-45b9-a4ee-b7725513f35c ### ";"";" ### FNAC 26141 ###  ### Création ###  ### gravure au burin sur papier ###  ### date de signature ### ";"3e quart 20e siècle ### ";"";"";"";"";"";"Adam 57 ###  ### 7/30 ### ";"Signé, daté, localisé ###  ### Numéroté ### ";"";"";"En bas à droite ###  ### En bas ### ";" ### ADAMHenri-Georges ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Graveur ### ";"";"burin ### ";"";"";"";"";"";"L'Anse de la torche ### ";"1957 ### ";"";"";"Inv. FNAC ### ";;;"
"
"0142d772-fc35-408b-bd5b-a07ea7d13f18";;;;;;;;;"";"";"1";"";;"";"A 101";"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";"";"25162edb277-39c3-45b9-a4ee-b7725513f35c ### ";"";" ### registre d'inventaire 1871-1957 ###  ### huile sur toile ###  ### titre du registre d'inventaire ###  ### erreur de transcription ### ";"4e quart 19e siècle ### ";" ### ancien titre ###  ### ancien titre ### ";"";"";"";"";"(signature recouverte de papier) ### ";"Signature ### ";"";"";"En bas à droite ### ";" ### LAURENT-DESROUSSEAUXHenri Alphonse ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";"peinture à l'huile ### ";"toile ### ";"";"";"";"";"La Communiante ou le Départ ###  ### Le Départ ###  ### La Communauté, ou Le Départ ### ";;"";"";"298 ### ";;;"
"
"0145ecc9-690d-4531-8a01-1641e2b8514d";;;;;;;;"";"";"";"1";"";;"";"77.20";"";"";;"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";"";"4,5d89f31ac-442f-4922-a414-e499739710e7 ### ";" ### Il y a une fiche 77.20 INCONNU (Ecole flamande) Enlèvement d'Hélène. ### ";" ### 36.2 ###  ### Création ###  ### Création ###  ### huile sur bois ### ";"17e siècle ### ";" ### anciennement attribué à ### ";;;;;;;;"";;"INCONNU ###  ### FRANCESCO SANESE (dit)GIORGIO MARTINI DiFrancesco ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ###  ### Peintre ### ";"";"peinture à l'huile ### ";"bois ### ";"";"";"";"";"Enlèvement d'Hélène ### ";;"";"";"Ancien numéro ### ";;"Ecole italienne du 17e siècle ### ";"
"
"016434ab-aff3-4265-9dfc-7f2cf986a689";;;;;;;;;;"";"1";"";"";"";"74.443";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";"";"0,7fc342777-6134-4a98-a407-08f206835f4b ### ";"";" ### 1974.443 ###  ### huile sur bois ###  ### date de signature ### ";"1er quart 20e siècle ### ";"";"";"";"";"";"R LECOURT 1910(?) ###  ### Raymond LECOURT 32.5 x 0.41 vers 1910 ###  ### 6 ### ";"Signé et daté ###  ### Etiquette ###  ### Inscription ### ";"";"";"En haut à gauche ###  ### Au dos ###  ### Au dos ### ";" ### LECOURTRaymond ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";"peinture à l'huile ### ";"bois ### ";"";"";"";"";"Cheval ### ";"1910 ### ";;;"Ancien numéro ### ";;;"
"
"016c86f4-0d36-4bf6-94e9-824240d3718e";;;;;;;;;;"";"1";"";;"";"A 54";"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";"";"102.562edb277-39c3-45b9-a4ee-b7725513f35c ### ";" ### titre porté à l'inventaire ### ";" ### Registre 1871-1957 ###  ### Création ###  ### huile sur toile ###  ### date de signature ### ";"4e quart 19e siècle ### ";"";"";"";"";"";"Ch.Eug. BUNEL 1889 ### ";"Signature ### ";"";"";"En bas à gauche ### ";" ### BUNELCharles-Eugène ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";"peinture à l'huile ### ";"toile ### ";"";"";"";"";"A Bry-sur-Marne, le 30 novembre 1870, l'ennemi fut délogé des maisons où il se tenait barricadé ### ";"1889 ### ";"";"";"692 ### ";;;"
"
