"";"dc:creator";"dc:source";"dc:created";"dc:description";"dc:rights";"dc:subjects";"dc:format";"dc:valid";"dc:issued";"dc:modified";"dc:coverage";"dc:expired";"dc:language";"dc:title";"item ### #text";
"0102d534-01e0-48e5-bf94-3affd4745a7a";"system";"";"2008-03-31T22:00:00Z";"";"";"";"";"";"";"2022-10-28T06:24:02Z";"";"";"";"E 51 ter";"system";"
"
"0104e66f-51a0-438d-8bf3-e015e0c47f19";"system";"";"2006-11-16T23:00:00Z";"";"";"";"";"";"";"2022-07-06T06:48:02Z";"";"";"";"52";"system";"
"
"01255444-e0eb-4fff-b4f0-883f299a8eb9";"system";"";"2001-02-26T23:00:00Z";"";"";"";"";"";"";"2022-10-18T13:03:22Z";"";"";"";"83.112";"system";"
"
"01353536-c192-4119-98ad-5d09e0277ff9";"Ducroix";"";"2020-11-25T14:12:29Z";"";"";"";"";"";"";"2022-08-24T08:26:49Z";"";"";"";"2019.6.9";"Ducroix";"
"
"0137852d-a195-4e04-97a3-6dd76d971a54";"system";"";"2005-08-17T22:00:00Z";"";"";"";"";"";"";"2021-03-31T12:34:02Z";"";"";"";"2004.3.203.4";"system";"
"
"013d358d-6144-46f9-8ca3-ce7580e3051a";"system";"";"2006-11-14T23:00:00Z";"";"";"";"";"";"";"2022-10-27T13:33:52Z";"";"";"";"D 60.64";"system";"
"
"0142d772-fc35-408b-bd5b-a07ea7d13f18";"system";"";"2000-12-20T23:00:00Z";"";"";"";"";"";"";"2020-09-09T09:48:22Z";"";"";"";"A 101";"system";"
"
"0145ecc9-690d-4531-8a01-1641e2b8514d";"system";"";"2002-01-16T23:00:00Z";"";"";"";"";"";"";"2022-11-02T10:21:03Z";"";"";"";"77.20";"system";"
"
"016434ab-aff3-4265-9dfc-7f2cf986a689";"system";"";"2001-10-25T22:00:00Z";"";"";"";"";"";"";"2021-03-16T07:50:43Z";"";"";"";"74.443";"system";"
"
"016c86f4-0d36-4bf6-94e9-824240d3718e";"system";"";"2000-01-16T23:00:00Z";"";"";"";"";"";"";"2022-11-07T12:57:16Z";"";"";"";"A 54";"system";"
"
"017481b6-feab-4cfa-8be9-9172e19ae783";"system";"";"2001-08-12T22:00:00Z";"";"";"";"";"";"";"2022-11-29T11:56:28Z";"";"";"";"101.4";"system";"
"
"0175de5c-d837-43aa-b915-a3b967768945";"system";"";"2008-04-22T22:00:00Z";"";"";"";"";"";"";"2022-10-28T07:19:06Z";"";"";"";"E 55 ter";"system";"
"
"018a7396-9c9a-49a9-af62-6dc80b2f7bda";"system";"";"2000-01-20T23:00:00Z";"";"";"";"";"";"";"2022-11-07T14:54:34Z";"";"";"";"A 66";"system";"
"
"01965e06-d05b-4ae3-94cd-a135f8376c5e";"Delcourt";"";"2016-04-14T09:59:23Z";"";"";"";"";"";"";"2022-12-05T14:04:56Z";"";"";"";"59.60";"Delcourt";"
"
"01a0e194-b4a4-481a-9e0f-243e1f0f4093";"system";"";"2002-01-22T23:00:00Z";"";"";"";"";"";"";"2022-11-09T10:05:07Z";"";"";"";"A 422";"system";"
"
"01bc7a10-2d65-4e72-b743-1d9174944ac3";"Delcourt";"";"2016-04-14T10:04:35Z";"";"";"";"";"";"";"2022-12-05T14:07:41Z";"";"";"";"59.63";"Delcourt";"
"
"01ccac67-6a6d-4954-86fe-4bc5b130dc44";"system";"";"2015-01-21T23:00:00Z";"";"";"";"";"";"";"2022-11-08T10:41:07Z";"";"";"";"A 184.3";"system";"
"
"01d50f17-f7e6-4ea2-a8c6-37a190d8a8c5";"system";"";"2009-12-16T23:00:00Z";"";"";"";"";"";"";"2019-07-11T14:12:23Z";"";"";"";"2008.4.2";"system";"
"
"01ee94a2-7f75-406c-88ae-8bf0ff3aa6c1";"system";"";"2001-10-28T23:00:00Z";"";"";"";"";"";"";"2022-11-02T08:15:05Z";"";"";"";"67.8";"system";"
"
"01f053c0-1b4c-44cc-a31a-e6b5707680e8";"system";"";"2007-06-12T22:00:00Z";"";"";"";"";"";"";"2022-10-24T13:27:10Z";"";"";"";"2007.1.2";"system";"
"
"02058723-5dd3-4ed3-81de-1e88a7b5fb7b";"system";"";"2006-01-25T23:00:00Z";"";"";"";"";"";"";"2022-10-26T12:32:59Z";"";"";"";"AD 63 bis";"system";"
"
"021278c7-a797-4e8f-bbbc-7c0577c425c1";"system";"";"2011-10-19T22:00:00Z";"";"";"";"";"";"";"2022-12-06T10:05:03Z";"";"";"";"71";"system";"
"
"02194485-3c86-4067-85c3-5aa8e5b2ce30";"system";"";"2006-11-26T23:00:00Z";"";"";"";"";"";"";"2022-10-25T13:24:30Z";"";"";"";"2015.0.25";"system";"
"
"021eb587-5b9d-422d-aee3-cb0a5de714ab";"system";"";"2006-01-23T23:00:00Z";"";"";"";"";"";"";"2022-11-10T10:23:28Z";"";"";"";"82.40";"system";"
"
"022c9077-2d60-4700-96b4-e711355fc537";"system";"";"2001-10-17T22:00:00Z";"";"";"";"";"";"";"2022-12-08T13:07:03Z";"";"";"";"81.42";"system";"
"
"02360591-1b58-4970-af9d-a1a95de30229";"system";"";"2009-09-08T22:00:00Z";"";"";"";"";"";"";"2022-11-04T14:32:38Z";"";"";"";"2009.1.39";"system";"
"
"02399fb5-96e3-4945-9aab-c391ad3d9276";"system";"";"2000-01-19T23:00:00Z";"";"";"";"";"";"";"2022-11-29T13:14:16Z";"";"";"";"A 188";"system";"
"
"025352cb-1197-4483-80b7-772f155834dd";"system";"";"2008-04-09T22:00:00Z";"";"";"";"";"";"";"2022-10-27T14:18:49Z";"";"";"";"E 53.320";"system";"
"
"0271e8cf-6847-46f6-a374-6d066e9d1be2";"system";"";"2006-11-20T23:00:00Z";"";"";"";"";"";"";"2022-10-27T07:05:14Z";"";"";"";"AD 108 bis";"system";"
"
"02894e77-21db-48f5-ba66-d7fe3ab2431a";"system";"";"2008-02-10T23:00:00Z";"";"";"";"";"";"";"2022-10-28T09:24:38Z";"";"";"";"E 133";"system";"
"
"02955405-84fa-425b-85c0-d818c34dd7fb";"system";"";"2001-02-25T23:00:00Z";"";"";"";"";"";"";"2022-11-02T08:16:28Z";"";"";"";"67.22";"system";"
"
"0298d10e-1d4b-4b70-a37f-17235b00c5d6";"system";"";"2010-02-01T23:00:00Z";"";"";"";"";"";"";"2021-03-31T13:23:46Z";"";"";"";"2005.2.16";"system";"
"
"029ccfe0-e9f7-43b8-a6f2-cef2d1eb248a";"Delcourt";"";"2015-11-10T12:14:52Z";"";"";"";"";"";"";"2021-04-16T08:11:37Z";"";"";"";"2015.5.10";"Delcourt";"
"
"02b5f00a-8af4-491e-b49c-1d5db1d6cd17";"system";"";"2000-11-13T23:00:00Z";"";"";"";"";"";"";"2022-11-10T07:50:30Z";"";"";"";"B 108";"system";"
"
"02c4d722-954d-4502-a65f-71770ed36300";"system";"";"2000-11-08T23:00:00Z";"";"";"";"";"";"";"2022-11-09T12:32:58Z";"";"";"";"A 453";"system";"
"
"02cf5bab-84ce-4d00-a79b-13bd4192a5d2";"Ducroix";"";"2022-06-10T09:34:32Z";"";"";"";"";"";"";"2022-12-09T15:25:04Z";"";"";"";"2021.5.13";"Ducroix";"
"
"02e55a43-d3c8-4a09-9555-be24d419c3b8";"system";"";"2000-12-20T23:00:00Z";"";"";"";"";"";"";"2022-11-08T08:23:01Z";"";"";"";"A 104";"system";"
"
"02e6fc06-6d3a-4f66-8a24-eaaea223c02a";"system";"";"2015-01-21T23:00:00Z";"";"";"";"";"";"";"2022-10-19T06:58:52Z";"";"";"";"565";"system";"
"
"030fbbd8-2498-468c-9503-67f3532b7b94";"system";"";"2008-04-23T22:00:00Z";"";"";"";"";"";"";"2022-01-05T15:41:17Z";"";"";"";"E 224";"system";"
"
"032600cd-fd33-4e46-9b14-59cdfec9cd33";"system";"";"2008-05-05T22:00:00Z";"";"";"";"";"";"";"2022-10-28T09:22:57Z";"";"";"";"E 126";"system";"
"
"0326b7af-2f4d-4c1a-a7da-7c81fcce0ff6";"system";"";"2000-02-06T23:00:00Z";"";"";"";"";"";"";"2022-11-07T10:55:38Z";"";"";"";"A 46";"system";"
"
"032e03b5-7756-4b64-8ac4-cbb421d8007d";"system";"";"2006-01-22T23:00:00Z";"";"";"";"";"";"";"2022-10-26T06:38:50Z";"";"";"";"AD 15 bis";"system";"
"
"0338748f-9032-40c1-bbe8-0f03134ff8ed";"system";"";"2000-12-19T23:00:00Z";"";"";"";"";"";"";"2022-11-08T08:21:49Z";"";"";"";"A 99 bis";"system";"
"
"033a6961-b86d-4ddc-a9b2-4143a6140e65";"system";"";"2010-02-01T23:00:00Z";"";"";"";"";"";"";"2021-03-31T13:29:47Z";"";"";"";"2005.2.20";"system";"
"
"033fe2db-e080-4bd9-adba-cf4c1c4f6d30";"Delcourt";"";"2015-11-10T12:44:36Z";"";"";"";"";"";"";"2021-04-16T08:40:04Z";"";"";"";"2015.6.5";"Delcourt";"
"
"036935c8-5b0a-4cad-8981-f74f35722c4e";"system";"";"2006-11-26T23:00:00Z";"";"";"";"";"";"";"2022-10-18T07:13:08Z";"";"";"";"75.47";"system";"
"
"0395b7b4-74ff-4001-8315-67876557ee7f";"system";"";"2008-03-30T22:00:00Z";"";"";"";"";"";"";"2022-10-28T06:17:59Z";"";"";"";"E 41";"system";"
"
"03a2434e-7200-4bbe-a625-515d9d17b625";"system";"";"2003-10-14T22:00:00Z";"";"";"";"";"";"";"2022-07-07T12:53:13Z";"";"";"";"63.9.29";"system";"
"
"03ac082f-22d9-491f-a617-aacc1959ebb5";"system";"";"2004-10-27T22:00:00Z";"";"";"";"";"";"";"2022-11-07T08:37:56Z";"";"";"";"2015.0.52";"system";"
"
"03ca5976-1b4d-4cbb-96bd-ae22441224b4";"system";"";"2006-10-26T22:00:00Z";"";"";"";"";"";"";"2022-10-20T13:46:51Z";"";"";"";"2004.3.183";"system";"
"
"03d15e11-720f-4e50-8be2-50ee31a9526f";"system";"";"2005-05-18T22:00:00Z";"";"";"";"";"";"";"2022-11-04T14:22:24Z";"";"";"";"2004.3.63";"system";"
"
"03de28c8-755b-45ac-9c07-0c85c6a62c75";"system";"";"2006-01-25T23:00:00Z";"";"";"";"";"";"";"2022-10-18T06:54:51Z";"";"";"";"71.164";"system";"
"
"03e2085d-4dff-4d9e-b593-8ff8bd1de6c6";"system";"";"2010-02-01T23:00:00Z";"";"";"";"";"";"";"2021-03-31T13:53:14Z";"";"";"";"2005.2.34";"system";"
"
"03fa3a05-a3d4-4054-86c7-cc508c811685";"system";"";"2014-12-08T23:00:00Z";"";"";"";"";"";"";"2022-11-07T08:19:50Z";"";"";"";"2014.0.21";"system";"
"
"0410214f-d45a-43bc-a090-d6b9a2ba5020";"Delcourt";"";"2016-08-12T07:22:24Z";"";"";"";"";"";"";"2022-12-08T14:46:54Z";"";"";"";"82.25(2)";"Delcourt";"
"
"042966c6-3167-4401-a426-c5444cb07b62";"system";"";"2000-07-27T22:00:00Z";"";"";"";"";"";"";"2022-11-08T08:11:15Z";"";"";"";"A 76";"system";"
"
"044cc2db-7e7f-4881-9ff8-e9d8d749c9e6";"system";"";"2005-08-15T22:00:00Z";"";"";"";"";"";"";"2019-07-11T14:11:34Z";"";"";"";"2004.3.195";"system";"
"
"047727f2-9bb4-4484-93ff-73d5e400d6be";"system";"";"2010-03-11T23:00:00Z";"";"";"";"";"";"";"2022-12-01T12:38:51Z";"";"";"";"2010.6.1";"system";"
"
"048ecda8-02f1-4050-aac0-56a85fcac40a";"system";"";"2005-02-08T23:00:00Z";"";"";"";"";"";"";"2022-11-04T14:17:39Z";"";"";"";"2004.3.48";"system";"
"
"04a954c0-6b0a-4839-8740-1ab137c43b87";"system";"";"2006-12-03T23:00:00Z";"";"";"";"";"";"";"2022-10-26T06:50:15Z";"";"";"";"AD 22 ter";"system";"
"
"04ae1dc2-dda5-4923-98d4-2fbf6a45c0d9";"system";"";"2015-02-01T23:00:00Z";"";"";"";"";"";"";"2022-12-12T13:44:48Z";"";"";"";"86.107";"system";"
"
"04c7f57e-e786-4168-976c-3db4d145a094";"system";"";"2009-11-03T23:00:00Z";"";"";"";"";"";"";"2021-06-24T08:19:03Z";"";"";"";"MNC 23752";"system";"
"
"04ccf136-916c-48f7-b41e-2e1595268a41";"system";"";"2015-05-31T22:00:00Z";"";"";"";"";"";"";"2022-08-18T09:36:40Z";"";"";"";"2015.0.75";"system";"
"
"04d83cfe-a883-457a-84f1-0e8f37ed97fb";"system";"";"2007-01-25T23:00:00Z";"";"";"";"";"";"";"2021-06-21T07:32:00Z";"";"";"";"FNAC 216";"system";"
"
"04d8e1a5-a316-4624-b9da-ba89bafa16b5";"system";"";"2005-09-01T22:00:00Z";"";"";"";"";"";"";"2022-10-27T09:06:31Z";"";"";"";"BD 28";"system";"
"
"04d967d0-389e-474f-b8d8-298f1136f087";"system";"";"2015-02-04T23:00:00Z";"";"";"";"";"";"";"2022-12-06T10:23:25Z";"";"";"";"71.241";"system";"
"
"04e65e15-1a1f-4e28-a571-12d2eb2bebeb";"system";"";"2015-03-22T23:00:00Z";"";"";"";"";"";"";"2021-04-20T15:45:11Z";"";"";"";"84.20.6";"system";"
"
"04f5a16e-2e44-43a2-98d9-30253799b991";"system";"";"2007-04-09T22:00:00Z";"";"";"";"";"";"";"2022-10-18T13:35:47Z";"";"";"";"84.6";"system";"
"
"0502cfda-15c6-46a7-9a7a-8047e2d69a09";"system";"";"2009-08-16T22:00:00Z";"";"";"";"";"";"";"2022-11-04T14:30:19Z";"";"";"";"2009.1.19";"system";"
"
"050b1311-6880-4b15-9dc1-792394d7b636";"system";"";"2010-02-01T23:00:00Z";"";"";"";"";"";"";"2022-01-27T08:45:26Z";"";"";"";"2005.2.30";"system";"
"
"052a21aa-e773-4424-80bb-942fd8dff8d5";"system";"";"2000-10-30T23:00:00Z";"";"";"";"";"";"";"2022-11-10T07:37:28Z";"";"";"";"B 78";"system";"
"
"052b7285-a83f-47ea-88de-b7f0ec0736d4";"system";"";"2002-01-14T23:00:00Z";"";"";"";"";"";"";"2022-11-02T07:41:32Z";"";"";"";"20";"system";"
"
"05326311-722a-4008-a563-56e244b9fe82";"system";"";"2015-06-03T22:00:00Z";"";"";"";"";"";"";"2021-06-24T09:05:56Z";"";"";"";"R 55";"system";"
"
"0535f384-2c15-4ad9-97d5-cd203689016b";"Ducroix";"";"2022-08-01T07:17:41Z";"";"";"";"";"";"";"2022-12-01T12:44:16Z";"";"";"";"2022.6.1";"Ducroix";"
"
"054a3fdf-9e24-4f65-beef-028d8851a3ce";"system";"";"2006-11-14T23:00:00Z";"";"";"";"";"";"";"2022-10-28T07:27:20Z";"";"";"";"E 58.8";"system";"
"
"05503eed-cab4-4e36-b64e-a1d0677e9bee";"system";"";"2000-08-17T22:00:00Z";"";"";"";"";"";"";"2022-11-09T14:28:57Z";"";"";"";"B 6";"system";"
"
"055627ef-ec89-4436-afb7-a99885781009";"system";"";"2001-12-02T23:00:00Z";"";"";"";"";"";"";"2022-11-09T08:13:10Z";"";"";"";"A 250";"system";"
"
"055da1f1-fcc4-4ad5-84b1-85925950839b";"system";"";"2001-10-23T22:00:00Z";"";"";"";"";"";"";"2022-11-02T13:24:25Z";"";"";"";"83.24";"system";"
"
"055eec90-e17d-428f-9e4b-b8c0a2e1dea5";"system";"";"2007-01-23T23:00:00Z";"";"";"";"";"";"";"2022-08-03T06:56:16Z";"";"";"";"2006.1.1b";"system";"
"
"0563f57b-9a7e-426c-8215-61c2840e7db2";"system";"";"2000-05-28T22:00:00Z";"";"";"";"";"";"";"2022-11-30T11:16:49Z";"";"";"";"A 381";"system";"
"
"0578a242-5092-41f0-a862-ef42a4ed5f7f";"system";"";"2005-04-25T22:00:00Z";"";"";"";"";"";"";"2022-11-04T14:20:40Z";"";"";"";"2004.3.60";"system";"
"
"057caab3-d897-4f84-91f6-c630158dbe1a";"system";"";"2015-06-23T18:22:49Z";"";"";"";"";"";"";"2019-07-11T14:24:46Z";"";"";"";"EXT/La Chute de Simon le magicien";"system";"
"
"059cf79f-0a3b-4e74-934f-919077fdf63e";"system";"";"2015-01-21T23:00:00Z";"";"";"";"";"";"";"2022-11-08T10:39:26Z";"";"";"";"A 184.1";"system";"
"
"05a1ae82-0eeb-47ae-a40e-d451963c8640";"system";"";"2003-10-13T22:00:00Z";"";"";"";"";"";"";"2022-07-07T12:51:41Z";"";"";"";"63.9.25";"system";"
"
"05b692e6-4565-48b5-ad13-3b928bb58656";"system";"";"2005-08-29T22:00:00Z";"";"";"";"";"";"";"2022-10-27T07:49:22Z";"";"";"";"AM2923D436";"system";"
"
"05c065a9-c73d-4d21-9708-f4d301508fb7";"system";"";"2008-03-31T22:00:00Z";"";"";"";"";"";"";"2022-10-28T08:57:58Z";"";"";"";"E 71";"system";"
"
"05d4a825-e850-495e-88a8-4e0975f5e85a";"Delcourt";"";"2016-08-11T13:18:47Z";"";"";"";"";"";"";"2021-04-16T12:28:37Z";"";"";"";"2015.6.80";"Delcourt";"
"
"05e42bde-7be3-4faf-ace5-2045397f9d3d";"Delcourt";"";"2015-11-10T14:17:25Z";"";"";"";"";"";"";"2021-04-16T08:56:23Z";"";"";"";"2015.6.20";"Delcourt";"
"
"05e830f2-2e43-48ce-adea-910173001a5d";"system";"";"2000-05-16T22:00:00Z";"";"";"";"";"";"";"2022-11-10T07:27:57Z";"";"";"";"B 67";"system";"
"
"05eacb7a-b1bf-406e-bf24-8eaa9fb4813a";"Delcourt";"";"2016-08-11T13:16:44Z";"";"";"";"";"";"";"2021-04-16T12:28:05Z";"";"";"";"2015.6.79";"Delcourt";"
"
"05fe6157-0e65-405f-b77e-560dcdd795e5";"system";"";"2000-01-30T23:00:00Z";"";"";"";"";"";"";"2022-11-07T10:54:12Z";"";"";"";"A 43";"system";"
"
"06018ff6-c853-4f67-af93-253d8d2720fe";"system";"";"2005-09-04T22:00:00Z";"";"";"";"";"";"";"2022-10-27T09:15:42Z";"";"";"";"BD 51";"system";"
"
"061845e5-8d89-4985-9af7-4e1076c45995";"system";"";"2004-04-29T22:00:00Z";"";"";"";"";"";"";"2022-11-02T13:11:30Z";"";"";"";"2004.1.1";"system";"
"
"061888b2-bc09-4c56-994b-d9bc000b8ead";"system";"";"2000-12-11T23:00:00Z";"";"";"";"";"";"";"2022-11-10T07:58:34Z";"";"";"";"B 128";"system";"
"
"062cf9bd-cf83-4d93-b918-10e4f71bcd33";"system";"";"2008-02-11T23:00:00Z";"";"";"";"";"";"";"2022-11-02T14:15:41Z";"";"";"";"157";"system";"
"
"062ef531-dfe0-4a0d-afe4-7583215544f4";"system";"";"2011-12-14T23:00:00Z";"";"";"";"";"";"";"2021-04-02T08:52:21Z";"";"";"";"2011.0.2.4";"system";"
"
"0631cee4-11e7-4d09-a10c-6a4b43f6e8cd";"system";"";"2000-11-09T23:00:00Z";"";"";"";"";"";"";"2022-11-10T07:46:52Z";"";"";"";"B 100";"system";"
"
"06328b70-31d0-48be-9467-4a1d739f821a";"system";"";"2006-01-22T23:00:00Z";"";"";"";"";"";"";"2022-10-27T12:23:35Z";"";"";"";"D 15";"system";"
"
"0639a2c7-260f-4b7e-95a2-bb8a459a38bf";"system";"";"2000-01-23T23:00:00Z";"";"";"";"";"";"";"2022-10-26T09:28:41Z";"";"";"";"AD 41";"system";"
"
"063da128-4092-499d-bf26-083d7ada9ba6";"system";"";"2005-09-04T22:00:00Z";"";"";"";"";"";"";"2022-10-27T09:12:23Z";"";"";"";"BD 42";"system";"
"
"06402b3c-d859-464b-b1f0-44cc85f22975";"system";"";"2009-11-24T23:00:00Z";"";"";"";"";"";"";"2021-06-24T08:26:54Z";"";"";"";"MNC 23980";"system";"
"
"06412e3c-6337-4d9c-b5a5-0fa8c17f7b67";"system";"";"2006-11-08T23:00:00Z";"";"";"";"";"";"";"2022-10-20T13:38:51Z";"";"";"";"2004.3.174";"system";"
"
"06486a19-33a7-4cec-b9f0-4cc9370cbb8e";"system";"";"2006-11-26T23:00:00Z";"";"";"";"";"";"";"2022-10-27T07:32:26Z";"";"";"";"AD 126";"system";"
"
"064c58c8-eb47-4106-a390-2c40ce200b79";"system";"";"2001-10-18T22:00:00Z";"";"";"";"";"";"";"2022-02-17T15:03:48Z";"";"";"";"A 275";"system";"
"
"064d3abe-6a44-41a0-85be-01102362a0af";"system";"";"2008-03-31T22:00:00Z";"";"";"";"";"";"";"2022-10-28T06:27:43Z";"";"";"";"E 53.312";"system";"
"
"0672be40-192a-4bc7-9fc3-12708702be8a";"system";"";"2009-08-11T22:00:00Z";"";"";"";"";"";"";"2022-10-25T07:01:00Z";"";"";"";"2009.1.14";"system";"
"
"0683b980-5665-4140-a1dd-c8a1d4b28bce";"system";"";"2008-04-03T22:00:00Z";"";"";"";"";"";"";"2022-10-28T09:21:58Z";"";"";"";"E 121";"system";"
"
"069b31ad-aae0-4e26-87c5-4f52dfcda5e6";"system";"";"2000-11-13T23:00:00Z";"";"";"";"";"";"";"2022-11-02T13:38:10Z";"";"";"";"85.01";"system";"
"
"069c6f3f-03d0-4d22-88a7-c660da569ad3";"system";"";"2006-01-19T23:00:00Z";"";"";"";"";"";"";"2022-12-08T13:30:36Z";"";"";"";"82.03";"system";"
"
"06b08499-a84d-4afe-9aeb-0b2f0f602fcb";"system";"";"2001-01-16T23:00:00Z";"";"";"";"";"";"";"2022-11-10T08:05:22Z";"";"";"";"B 151";"system";"
"
"06dbb0f7-0e6f-46f5-b5f1-51bfacefa767";"system";"";"2008-04-06T22:00:00Z";"";"";"";"";"";"";"2022-10-28T09:23:33Z";"";"";"";"E 129";"system";"
"
"06eb12e3-7bea-4ac3-9408-39eb509241ed";"system";"";"2005-07-11T22:00:00Z";"";"";"";"";"";"";"2022-10-19T07:20:49Z";"";"";"";"2004.3.97";"system";"
"
"06f54e7d-5dd3-4aed-bdae-7b11b018125a";"system";"";"2006-10-22T22:00:00Z";"";"";"";"";"";"";"2022-10-28T07:48:48Z";"";"";"";"E 58.18";"system";"
"
"06fdabf1-4e1d-4e62-9191-bb8f8b0306d8";"system";"";"2002-01-24T23:00:00Z";"";"";"";"";"";"";"2022-11-02T07:53:44Z";"";"";"";"61";"system";"
"
"0716410e-9921-450f-8d85-8779787817a9";"system";"";"2008-04-06T22:00:00Z";"";"";"";"";"";"";"2022-10-28T13:05:55Z";"";"";"";"E 253";"system";"
"
"072abbf0-1dab-4065-b288-bdd95ca5278b";"system";"";"2009-08-16T22:00:00Z";"";"";"";"";"";"";"2022-11-04T14:34:01Z";"";"";"";"2009.1.46";"system";"
"
"073251dd-7c9f-4911-9d1f-ad7590fc1d8c";"system";"";"2007-01-11T23:00:00Z";"";"";"";"";"";"";"2021-06-02T13:32:34Z";"";"";"";"E 11 bis";"system";"
"
"0735659e-e3b2-48dd-bdc2-9a146ffce27d";"system";"";"2006-11-30T23:00:00Z";"";"";"";"";"";"";"2022-10-25T13:46:54Z";"";"";"";"2015.2.66";"system";"
"
"0745f96c-d82e-4214-adfb-9be2a3f12e76";"Ducroix";"";"2020-11-25T16:35:39Z";"";"";"";"";"";"";"2022-05-11T08:17:33Z";"";"";"";"2019.7.1";"Ducroix";"
"
"07493dfd-9048-438f-8d14-b7d52b0c0d9d";"system";"";"2006-11-26T23:00:00Z";"";"";"";"";"";"";"2022-10-27T07:33:19Z";"";"";"";"AD 126 ter";"system";"
"
"0751f446-646b-4e27-984b-0f7ab78f0d7d";"system";"";"2001-01-23T23:00:00Z";"";"";"";"";"";"";"2021-05-18T08:04:24Z";"";"";"";"81.28";"system";"
"
"075443ec-de45-4015-b2e2-f90b2354d254";"system";"";"2000-01-23T23:00:00Z";"";"";"";"";"";"";"2022-11-07T10:47:47Z";"";"";"";"A 38";"system";"
"
"0763da82-2bae-409b-9837-1843c1bc0f0f";"system";"";"2015-05-18T22:00:00Z";"";"";"";"";"";"";"2021-06-29T06:48:56Z";"";"";"";"2015.1.9";"system";"
"
"0775d3d5-cc24-4ed2-833a-8a3f14dba189";"Ducroix";"";"2022-08-01T07:59:53Z";"";"";"";"";"";"";"2022-09-01T15:24:28Z";"";"";"";"2022.5.23";"Ducroix";"
"
"078af504-7b2a-4605-a398-349ba5c8f3ff";"system";"";"2001-10-08T22:00:00Z";"";"";"";"";"";"";"2022-12-08T09:01:46Z";"";"";"";"79.17";"system";"
"
"078dcec6-2afc-4d96-a1c3-c743d9adbd80";"Viscart";"";"2021-10-12T13:49:49Z";"";"";"";"";"";"";"2021-10-12T13:49:51Z";"";"";"";"EXT/2";"Viscart";"
"
"079f9c60-72db-485d-858f-f8e678c8f212";"system";"";"2001-01-15T23:00:00Z";"";"";"";"";"";"";"2022-11-08T08:26:01Z";"";"";"";"A 112";"system";"
"
"07b1c120-97f8-445f-a61e-33b746dbd574";"system";"";"2006-11-23T23:00:00Z";"";"";"";"";"";"";"2022-12-12T14:12:52Z";"";"";"";"88.27.7";"system";"
"
